500,49
550,63
520,49
513,46
540,01
536,75
559,19
498,96
540,95
425,09
490,15
499,93
584,41
498,97
502,78
491,9
535,44
537,54
537,47
465,63
499,95
497,64
517,3
605,24
461,17
472,71
537,63
553,35
509,74
467,05
522,13
501,06
485,86
509,13
540,37
474,76
574,2
537,59
578,94
587,79
493,97
523,13
480
497,04
511,16
509,97
470,46
513,56
535,22
571,84
554,48
600,69
537,72
516,53
552,36
542,96
469,72
538,2
490,18
546,78
515,34
534,8
507,96
572,05
523,59
557,51
535,48
522,2
512,8
471,08
580,2
508,46
479,56
525,65
506,59
521,48
436,47
514,51
505,59
498,56
522,91
517,77
556,74
482,62
499,42
474,81
473,05
613,43
473,2
527,85
484,32
522,52
495,26
497,46
465,09
524,05
548,39
460,47
518,89
521,3

517,2925

511,18
561,91
530,33
523,89
550,59
547,79
570,06
509,3
551,12
433,9
500,36
510,64
595,89
508,63
512,9
501,92
545,69
548,71
548,46
475,3
510,17
507,44
527,72
617,55
470,64
482,82
548,82
564,01
519,44
476,85
532,33
510,92
495,88
519,68
551,17
484,95
585,57
548,33
590,54
599,18
504,42
533,66
489,68
507,82
521,03
520,04
479,99
523,69
545,89
583,67
565,05
612,52
548,02
526,93
563,03
553,84
478,95
548,92
500,7
557,89
525,82
545,21
517,93
583,05
533,95
569,03
546,43
532,48
522,96
480,69
591,71
518,66
489,75
536,37
516,23
532,08
445,94
525,22
515,54
508,37
533,33
528,49
567,83
492,94
509,75
484,37
483,28
625,64
483,5
538,19
494,67
533,25
505,54
507,47
474,78
534,63
559,34
470,44
529,53
531,85

527,7456

365,41
394,5
326,04
353,46
354,12
398,6
380,27
345,32
338,67
276,18
340,9
357,3
410,06
336,77
336,17
321,4
356,2
386,07
370,02
321,52
347,24
321,17
344,09
440,3
314,31
332,74
389,02
351,8
314,91
324,88
353,81
318,32
339,87
350,88
357,78
337,97
392
358,76
420,56
410,61
344,19
367,23
319,91
371,55
327,22
341,84
311,19
326,57
370,99
430,74
354,41
419,92
353,23
350,06
367,58
362,57
309,79
373,83
360,72
382,75
351,88
349,57
340,36
394,18
342,12
415,32
387,72
350,42
341,82
308,44
402,11
340,51
334,56
360,01
308
349,87
308,51
358,93
319,18
320,22
348,09
350,02
390,53
349,13
347,89
308,25
342,93
439,52
333,02
342,35
344,06
362,95
348,86
331,19
317,86
349,65
370,51
323,99
362,86
348,17

353,31850000000003

376,1
405,78
335,88
363,89
364,7
409,64
391,14
355,66
348,84
284,99
351,11
368,01
421,54
346,43
346,29
331,42
366,45
397,24
381,01
331,19
357,46
330,97
354,51
452,61
323,78
342,85
400,21
362,46
324,61
334,68
364,01
328,18
349,89
361,43
368,58
348,16
403,37
369,5
432,16
422
354,64
377,76
329,59
382,33
337,09
351,91
320,72
336,7
381,66
442,57
364,98
431,75
363,53
360,46
378,25
373,45
319,02
384,55
371,24
393,86
362,36
359,98
350,33
405,18
352,48
426,84
398,67
360,7
351,98
318,05
413,62
350,71
344,75
370,73
317,64
360,47
317,98
369,64
329,13
330,03
358,51
360,74
401,62
359,45
358,22
317,81
353,16
451,73
343,32
352,69
354,41
373,68
359,14
341,2
327,55
360,23
381,46
333,96
373,5
358,72

363,7716
